valid,reasons,warnings,metrics,filename
False,['Consistency 0.10'],[],"{'snr': 54.594011306762695, 'consistency': 0.09881667047739029, 'flatness': 0.027739022}",canonchronicler_audio_part1.mp3
False,['Consistency 0.13'],[],"{'snr': 35.18298625946045, 'consistency': 0.13252243399620056, 'flatness': 0.027211556}",charizzaard_audio_part1.mp3
False,['Consistency 0.16'],[],"{'snr': 17.624820470809937, 'consistency': 0.15735849738121033, 'flatness': 0.023124773}",elaf8sh_audio_part1.mp3
False,['Consistency 0.08'],[],"{'snr': 22.253191471099854, 'consistency': 0.0753851979970932, 'flatness': 0.027943745}",marlibs3_audio_part1.mp3
False,['Consistency 0.08'],[],"{'snr': 24.188811779022217, 'consistency': 0.078574538230896, 'flatness': 0.027416496}",marlibs3_audio_part2.mp3
False,['Consistency 0.10'],[],"{'snr': 23.06466817855835, 'consistency': 0.10091392695903778, 'flatness': 0.023336302}",micapili_audio_part1.mp3
True,[],[],"{'snr': 20.819413661956787, 'consistency': 0.40082690119743347, 'flatness': 0.042061944}",mrrrrrrrrmoke_audio_part1.mp3
False,['Consistency 0.23'],[],"{'snr': 31.62815809249878, 'consistency': 0.23482686281204224, 'flatness': 0.17987417}",mygryphon_audio_part1.mp3
False,['Consistency 0.15'],[],"{'snr': 16.773399114608765, 'consistency': 0.148904949426651, 'flatness': 0.018285012}",patricialazaro_audio_part1.mp3
False,['Consistency 0.08'],[],"{'snr': 48.51458549499512, 'consistency': 0.08119624108076096, 'flatness': 0.08386849}",ricarettes_audio_part1.mp3
True,[],[],"{'snr': 24.09588098526001, 'consistency': 0.3705119788646698, 'flatness': 0.020048743}",rootcatz_audio_part1.mp3
False,['Consistency 0.15'],[],"{'snr': 22.062242031097412, 'consistency': 0.1527915596961975, 'flatness': 0.031534363}",shannoncsw_audio_part1.mp3
False,['Consistency 0.10'],[],"{'snr': 17.755930423736572, 'consistency': 0.10450740903615952, 'flatness': 0.018785376}",stillarobyn_audio_part1.mp3
False,['Consistency 0.12'],[],"{'snr': 15.919090509414673, 'consistency': 0.11835475265979767, 'flatness': 0.011023312}",supremethottie_audio_part1.mp3
False,['Consistency 0.18'],[],"{'snr': 16.383326053619385, 'consistency': 0.17560739815235138, 'flatness': 0.023587635}",thekotacola_audio_part1.mp3
False,['Consistency 0.08'],[],"{'snr': 28.10696840286255, 'consistency': 0.08493918180465698, 'flatness': 0.034444608}",trap_jesus_audio_part1.mp3
